dan,datum,oku_10h,oku_14h,oku_24h,p_oku_zdravstvo,p_oku_dsoz,p_oku_dso,testi_14h,testi_24h,testi_novi_gov,oku_novi_gov,hospitalizirani,intenzivni,umrli,odpusceni,hospitalizirani_neur,intenzivni_neur,odpusceni_neur,lj,ce,nm,mb,kr,sg,po,ms,kp,za,ng,kk,0-15,16-29,30-49,50-59,60+,0,10,20,30,40,50,60,70,80,90
-3,29.2.,,0,0,,,,183,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,1.3.,,0,0,,,,208,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,2.3.,,0,0,,,,255,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.3.,,0,0,0,0,0,290,313,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
1,4.3.,,1,1,0,0,0,352,364,,,,,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,0,0,0
2,5.3.,,4,6,1,0,0,433,467,,,,,0,,,,,5,0,0,0,0,0,0,1,0,0,0,0,,,,,,0,0,0,2,1,1,1,1,0,0
3,6.3.,,8,9,3,0,0,498,745,,,,,0,,,,,7,0,1,0,0,0,0,2,0,0,0,0,,,,,,0,0,0,3,1,2,3,1,0,0
4,7.3.,,12,13,3,0,0,785,922,,,,,0,,,,,8,0,4,1,0,0,0,2,1,0,0,0,,,,,,0,0,0,7,1,2,4,2,0,0
5,8.3.,,16,19,6,1,0,981,1160,,,,,0,,,,,10,0,6,1,0,0,0,2,1,0,0,0,,,,,,0,0,0,7,1,3,6,3,0,0
6,9.3.,,23,29,11,2,0,1227,1527,,,,,0,,18,1,8,16,0,11,1,0,0,0,2,1,0,0,0,,,,,,0,0,1,10,2,3,9,5,0,1
7,10.3.,,31,47,14,3,0,1643,2069,,,,,0,,18,1,10,27,0,12,3,0,0,3,2,2,0,0,0,,,,,,0,0,2,14,3,6,16,6,0,2
8,11.3.,,57,77,22,5,3,2270,2818,,,,,0,,17,2,15,44,3,18,7,1,0,3,3,2,0,1,0,,,,,,0,1,4,24,10,10,21,8,1,3
9,12.3.,,89,127,22,5,3,3058,3863,,,17,2,0,0,22,4,19,61,12,31,9,1,0,3,5,4,1,2,1,4,23,26,22,21,0,7,9,37,16,17,31,8,1,5
10,13.3.,,141,174,22,5,4,4346,5060,,,21,4,0,0,29,4,19,70,25,41,12,8,0,4,5,6,2,3,1,10,34,43,30,24,0,12,13,42,25,29,36,12,3,7
11,14.3.,,181,215,25,5,7,5369,5976,,,28,3,1,0,33,3,19,83,32,42,18,11,1,6,7,7,2,3,1,14,39,56,37,34,0,16,17,50,35,33,39,14,4,7
12,15.3.,,219,247,27,5,7,6156,6566,,,31,3,1,0,32,5,21,92,38,46,21,16,3,11,7,8,2,3,1,17,45,73,41,40,0,17,20,57,44,41,45,15,4,7
13,16.3.,,253,272,32,5,7,6712,7437,,,32,3,1,0,38,5,26,102,38,48,25,18,10,11,7,8,2,4,1,18,54,88,47,41,0,18,22,64,48,46,53,15,4,7
14,17.3.,,275,283,35,6,7,7587,8558,,,34,5,1,3,43,5,32,103,40,51,28,18,10,12,7,8,2,4,1,19,60,96,56,44,1,18,23,66,50,49,54,15,4,7
15,18.3.,,286,315,36,6,7,8730,9584,,,43,6,1,6,47,7,35,109,50,52,29,20,13,13,11,11,2,5,1,20,63,99,59,45,1,18,25,72,55,57,55,18,8,10
16,19.3.,317,319,339,38,8,16,9860,10768,,,45,6,1,18,46,8,39,116,56,55,31,23,14,13,11,11,2,5,2,21,68,106,64,58,1,18,26,77,57,60,58,20,12,13
17,20.3.,341,341,368,42,9,17,10980,12010,1046,28,55,9,1,26,51,8,42,131,56,57,35,24,16,13,11,11,3,5,2,21,71,113,69,67,1,18,27,83,60,67,62,24,13,13
18,21.3.,379,383,402,42,9,24,12250,12882,1482,44,56,9,1,28,52,11,43,143,68,58,37,28,16,14,11,11,5,6,5,22,74,126,75,82,1,19,28,87,67,74,65,29,18,18
19,22.3.,412,414,439,42,9,28,13098,13613,1088,46,55,10,2,32,56,10,46,154,78,59,44,29,18,16,11,12,5,6,5,22,75,138,81,96,1,19,29,92,71,82,74,31,21,21
20,23.3.,440,442,478,47,11,29,13812,14870,714,28,69,10,3,35,69,11,46,171,87,59,47,31,19,16,12,12,7,6,6,22,80,145,89,104,2,19,30,95,73,91,80,35,26,26
21,24.3.,,480,526,73,14,39,,16113,1058,36,72,14,4,37,78,14,47,188,97,63,49,34,21,18,17,13,8,6,7,,,,,,2,19,31,100,82,100,91,41,30,29
22,25.3.,,,571,,14,50,,17294,1243,50,98,17,5,42,81,16,51,204,106,66,53,40,23,21,17,13,10,7,7,,,,,,2,19,34,102,90,108,101,51,32,32
23,26.3.,,,632,90,15,79,,18369,1181,36,90,21,6,48,102,22,51,221,117,84,58,42,25,22,19,14,11,8,7,,,,,,2,19,35,105,97,114,111,60,43,46
24,27.3.,,,684,105,23,83,,19756,,,90,25,9,54,102,23,57,243,121,88,59,50,30,26,21,14,12,9,7,,,,,,2,19,37,107,106,125,121,68,48,51
25,28.3.,,,730,107,24,97,,20753,,,101,23,11,54,108,24,58,248,141,90,63,53,34,27,21,15,14,11,7,,,,,,2,19,44,110,109,131,130,72,54,59
26,29.3.,,,756,108,24,109,,21349,,,115,28,11,57,117,29,59,256,151,91,64,54,34,27,25,15,14,11,8,,,,,,2,20,44,111,111,135,133,76,61,63
27,30.3.,,,802,108,30,130,,22474,,,119,28,13,64,110,28,68,270,158,98,64,54,34,28,39,17,14,11,9,,,,,,2,20,45,116,114,143,139,81,69,73
28,31.3.,,,841,110,30,137,,23762,,,119,31,15,72,109,31,75,278,163,99,66,58,34,28,51,17,18,14,9,,,,,,2,21,47,119,120,151,146,87,73,75
29,1.4.,,,897,121,32,162,,24857,,,112,29,16,78,108,30,81,296,177,102,69,61,34,28,64,17,19,15,9,,,,,,3,21,50,125,123,158,152,90,88,87
30,2.4.,,,934,128,35,177,,25921,,,112,30,20,83,114,30,83,304,187,105,71,62,35,29,72,19,19,15,10,,,,,,3,21,51,128,126,163,159,94,95,94
31,3.4.,,,977,143,42,195,,27109,,,109,31,22,93,109,31,93,314,205,109,75,63,35,29,76,19,19,17,10,,,,,,3,21,58,134,131,168,163,98,102,99
